Power,Discipline,Level,Rouse,Pool,Info,Duration,Prerequisite,Source,Page
Spark of Rage,Potence,3,1,Manipulation + Potence,Incite anger or frenzy in onlookers.,One scene,Presence 3,0,265
Uncanny Grip,Potence,3,1,,Latch onto and climb almost any surface.,One scene,,0,265
Draught of Might,Potence,4,1,,Gift an ally some of the user’s Potence powers.,"One night; for vampires, until the next feeding or upon reaching Hunger 5",,0,265
Earthshock,Potence,5,2,,"Slam the ground, causing a shockwave that knocks enemies down.",One use,,0,265
Fist of Caine,Potence,5,1,,Unarmed attacks deal aggravated damage to mortals and vampires alike.,One scene,,0,266
Awe,Presence,1,0,Manipulation + Presence vs. Composure + Intelligence,"Add Presence rating to persuasion, performance, and charisma-related rolls. May not be used with Daunt.",One scene,,0,267
Daunt,Presence,1,0,,Add the user’s Presence rating to all Intimidation rolls and make it difficult to attack the user. May not be used with Awe.,One scene,,0,267
Lingering Kiss,Presence,2,0,,Feeding victims become addicted to the vampire’s Kiss and gain a bonus to one social attribute.,One night per Presence dot,,6,62
Dread Gaze,Presence,3,1,Charisma + Presence vs. Composure + Resolve,"Cause intense fear in a victim, cowing them or causing them to flee in terror.",One turn,,0,276
Entrancement,Presence,3,1,Charisma + Presence vs. Composure + Wits,"Cause the victim to become infatuated with the vampire, granting a social bonus against the victim equal to Presence rating.",One hour + one per point of margin,,0,268
Irresistible Voice,Presence,4,0,,"The user may now use Dominate without eye contact, though they must still be physically present.",Passive,Dominate 1,0,268
Summon,Presence,4,1,Manipulation + Presence vs. Composure + Intelligence,"Call a person to you, so long as you have already used a different Presence ability on them. Distance does not matter.",One night,,0,268
Majesty,Presence,5,2,Charisma + Presence vs. Composure + Resolve,"Reduce onlookers to abject worship or terror. Victims succeeding in the test may only act in opposition for a single turn, unless they score a critical success.",One scene,,0,268
Star Magnetism,Presence,5,1,,"Awe, Daunt, and Entrancement can be transmitted though live electronic feeds. Cost is in addition to the power used.",As power used,,0,269
Eyes of the Beast,Protean,1,0,,"Manifest a supernatural gleam into the eyes, granting sight in pitch-blackness.",As long as desired,,0,269
Weight of the Feather,Protean,1,0,Wits + Survival (if unprepared),"Reduce mass and density to near-weightlessness, though this does not allow for longer leaps.",As long as desired,,0,270
Feral Weapons,Protean,2,1,,"Manifest wicked claws or fangs, conferring +2 brawl damage to attacks. Such damage is not halved by vampires.",One scene,,0,270
Earth Meld,Protean,3,1,,"Sink into a natural surface, such as grass or dirt. This confers protection from sunlight.","One day or more, or until disturbed",,0,270
Shapechange,Protean,3,1,,"Assume the shape of an animal roughly the vampire’s size, gaining the traits of the associated animal.",One scene,,0,270
Metamorphosis,Protean,4,1,,"Gain an additional animal form, one which may not match the vampire’s size.",One scene,Shapechange,0,271
Mist Form,Protean,5,1,,"Evaporate into mist, becoming immune to most forms of damage. The transformation takes 1-3 turns, depending on the number of rouse checks made.",One scene,,0,271
The Unfettered Heart,Protean,5,0,,"The vampire’s heart moves freely within his body, increasing the difficulty of staking attempts and giving the vampire a chance to “break free” of a staking.",Passive,,0,271
Corrosive Vitae,Blood Sorcery,1,1,,Turn the user’s vitae into a corrosive substance against dead substances. More rouse checks increases area.,N/A,,0,272
A Taste for Blood,Blood Sorcery,1,0,Resolve + Blood Sorcery,"Taste a drop of blood to discern various traits about the owner, including if they’re human, vampire, or … something else.",N/A,,0,273
Extinguish Vitae,Blood Sorcery,2,1,Intelligence + Blood Sorcery vs. Stamina + Composure,"Ruin another vampire’s blood reserves, increasing their Hunger.",N/A,,0,273
Blood of Potency,Blood Sorcery,3,1,Resolve + Blood Sorcery,"Increase the sorcerer’s Blood Potency by 1 (2 on a critical win), regardless of generational limits.",One scene or one night,,0,273
Scorpion’s Touch,Blood Sorcery,3,1,Strength + Blood Sorcery vs. Stamina + Occult/Fortitude,Convert the user’s vitae into a paralyzing poison dangerous to both mortals and vampires. More rouse checks create more poison.,One scene (potency),,0,273
Theft of Vitae,Blood Sorcery,4,1,Wits + Blood Sorcery vs. Wits + Occult,"Steal the very blood from a mortal from a distance, slaking Hunger in the process.",One feeding,,0,274
Baal’s Caress,Blood Sorcery,5,1,Strength + Blood Sorcery vs. Stamina + Occult/Fortitude,Transmute the user’s vitae into an extremely potent and lethal poison that affects mortals and vampires alike. More rouse checks create more poison.,One scene (potency),,0,274
Cauldron of Blood,Blood Sorcery,5,1,Resolve + Blood Sorcery vs. Composure + Occult/Fortitude,"Boil the victim’s blood in their veins, causing aggravated damage and one or more Stains. Mortals taking one point of damage die in shrieking agony, and vampires add 1 Hunger per point of margin.",One turn,,0,274
Ashes to Ashes,Oblivion,1,1,Stamina + Oblivion vs. Stamina + Medicine/Fortitude,"Pour vitae onto a corpse to disintegrate it over three turns. No roll if the corpse is inanimate. If it is animate, it disintegrates in 5 turns - 1 per margin.",Variable,,7,204
The Binding Fetter,Oblivion,1,0,,"The vampire's senses become attuned to the energies of fetters, allowing the necromancer to identify them by sight, smell, or other senses. While this power is active, suffer a -2 penalty to all Awareness, Wits, and Resolve-based rolls.",One scene,,7,204
Fatal Precognition,Oblivion,2,1,Resolve + Oblivion,"The user becomes paralyzed as they witness a vision of the target’s death, which may be incipient or in the distant future. The number of successes on the activation roll determines the level of detail gleaned. Anyone attempting to thwart the observed fate suffers a 1-difficulty penalty to all related rolls.","Until fulfilled, avoided, or the story ends",Auspex 2,7,204
Where the Shroud Thins,Oblivion,2,1,Wits + Oblivion,"Sense the relative thinness of the Shroud in the area, potentially granting reduced difficulties on Oblivion rolls.",One scene,,7,205
Aura of Decay,Oblivion,3,1,Stamina + Oblivion vs. Stamina + Medicine/Fortitude,"The Hecata radiates a field of entropy, destroying all unintelligent organic and inorganic materials within 5 yards/meters. Affected objects may become toxic or dangerous. Living beings caught in the area suffer one point of unhalved superficial damage per point of margin on the activation roll. Repeated applications during the same scene have no additional effect.",One scene,,7,205
Passion Feast,Oblivion,3,0,Resolve + Oblivion vs. Resolve + Composure,"Drain a nearby wraith of its passion, reducing hunger by one for the night and inflicting one point of aggravated willpower damage on the wraith. A wraith drained of all passion may become a violent spectre.",Passive,Fortitude 2,7,206
Necrotic Plague,Oblivion,4,1,Intelligence + Oblivion vs. Stamina + Medicine/Fortitude,"Gain two stains. By touching a mortal, the necromancer afflicts the victim with a virulent plague. Weak victims are infected automatically. Victims take one aggravated health damage at the start of every scene after the infection, for a number of scenes equal to the vampire’s Oblivion rating. On a critical win, the disease spreads via touch, with extra recipients suffering for one scene fewer than the victim that infected them.",One turn to activate; variable length of condition,,7,206
Skuld Fulfilled,Oblivion,5,2,Stamina + Oblivion vs. Stamina + Medicine/Fortitude,"The vampire coats their palms and face in vitae and recalls the faces of their victims. On a win, the targeted victim suffers from a serious condition from which they previously recovered, such as cancer, broken bones, or disease. Ghouls lose their immunity to aging and lose all vitae, potentially destroying older ghouls. On a critical win, the victim may die outright.","Variable, depending on whether the condition is treatable",,7,207
Withering Spirit,Oblivion,5,2,Resolve + Oblivion vs. Resolve + Occult/Fortitude,"After coating both hands in vitae, the Hecata touches their victim, suffering two points of aggravated willpower damage for each point of margin. If impaired by this power, the victim will not return as a wraith after death. Use of this power may incur stains.",One turn,,7,208
